"Site","Month","Transect","Species","Abundance"
"River1","January",1,"Trout",10
"River1","January",2,"Trout",0
"River1","January",3,"Trout",8
"River2","January",1,"Trout",3
"River2","January",2,"Trout",2
"River2","January",3,"Trout",15
"River1","February",1,"Trout",2
"River1","February",2,"Trout",7
"River1","February",3,"Trout",0
"River2","February",1,"Trout",11
"River2","February",2,"Trout",2
"River2","February",3,"Trout",7
"River1","March",1,"Trout",11
"River1","March",2,"Trout",9
"River1","March",3,"Trout",4
"River2","March",1,"Trout",1
"River2","March",2,"Trout",8
"River2","March",3,"Trout",10
"River1","April",1,"Trout",1
"River1","April",2,"Trout",2
"River1","April",3,"Trout",15
"River2","April",1,"Trout",0
"River2","April",2,"Trout",12
"River2","April",3,"Trout",6
"River1","January",1,"Perch",5
"River1","January",2,"Perch",13
"River1","January",3,"Perch",19
"River2","January",1,"Perch",5
"River2","January",2,"Perch",9
"River2","January",3,"Perch",24
"River1","February",1,"Perch",12
"River1","February",2,"Perch",3
"River1","February",3,"Perch",0
"River2","February",1,"Perch",8
"River2","February",2,"Perch",22
"River2","February",3,"Perch",2
"River1","March",1,"Perch",3
"River1","March",2,"Perch",5
"River1","March",3,"Perch",25
"River2","March",1,"Perch",7
"River2","March",2,"Perch",3
"River2","March",3,"Perch",20
"River1","April",1,"Perch",23
"River1","April",2,"Perch",17
"River1","April",3,"Perch",4
"River2","April",1,"Perch",12
"River2","April",2,"Perch",6
"River2","April",3,"Perch",14
"River1","January",1,"Stickleback",28
"River1","January",2,"Stickleback",42
"River1","January",3,"Stickleback",9
"River2","January",1,"Stickleback",72
"River2","January",2,"Stickleback",33
"River2","January",3,"Stickleback",65
"River1","February",1,"Stickleback",47
"River1","February",2,"Stickleback",69
"River1","February",3,"Stickleback",23
"River2","February",1,"Stickleback",89
"River2","February",2,"Stickleback",13
"River2","February",3,"Stickleback",15
"River1","March",1,"Stickleback",30
"River1","March",2,"Stickleback",26
"River1","March",3,"Stickleback",24
"River2","March",1,"Stickleback",29
"River2","March",2,"Stickleback",40
"River2","March",3,"Stickleback",37
"River1","April",1,"Stickleback",5
"River1","April",2,"Stickleback",54
"River1","April",3,"Stickleback",31
"River2","April",1,"Stickleback",11
"River2","April",2,"Stickleback",31
"River2","April",3,"Stickleback",14
